PERSON_AGE,PERSON_SEX,Crashes,PERSON_TYPE,PERSON_INJURY
59.0,Male,31702,31702,31702
59.0,Undefined,146,146,146
60.0,Female,12359,12359,12359
60.0,Male,30317,30317,30317
60.0,Undefined,137,137,137
61.0,Female,11483,11483,11483
61.0,Male,28153,28153,28153
61.0,Undefined,133,133,133
62.0,Female,10753,10753,10753
62.0,Male,26164,26164,26164
62.0,Undefined,108,108,108
63.0,Female,9807,9807,9807
63.0,Male,23357,23357,23357
63.0,Undefined,116,116,116
64.0,Female,9044,9044,9044
64.0,Male,21143,21143,21143
64.0,Undefined,110,110,110
65.0,Female,8170,8170,8170
65.0,Male,19300,19300,19300
65.0,Undefined,128,128,128
66.0,Female,7397,7397,7397
66.0,Male,17241,17241,17241
66.0,Undefined,91,91,91
67.0,Female,6929,6929,6929
67.0,Male,15405,15405,15405
67.0,Undefined,95,95,95
68.0,Female,6698,6698,6698
68.0,Male,14515,14515,14515
68.0,Undefined,66,66,66
69.0,Female,6300,6300,6300
69.0,Male,13253,13253,13253
69.0,Undefined,64,64,64
70.0,Female,5651,5651,5651
70.0,Male,11889,11889,11889
70.0,Undefined,73,73,73
71.0,Female,5313,5313,5313
71.0,Male,10396,10396,10396
71.0,Undefined,61,61,61
72.0,Female,4724,4724,4724
72.0,Male,9077,9077,9077
72.0,Undefined,33,33,33
73.0,Female,4081,4081,4081
73.0,Male,7525,7525,7525
73.0,Undefined,37,37,37
74.0,Female,3798,3798,3798
74.0,Male,7045,7045,7045
74.0,Undefined,34,34,34
75.0,Female,3493,3493,3493
75.0,Male,5934,5934,5934
75.0,Undefined,22,22,22
76.0,Female,2985,2985,2985
76.0,Male,5405,5405,5405
76.0,Undefined,32,32,32
77.0,Female,2813,2813,2813
77.0,Male,4786,4786,4786
77.0,Undefined,26,26,26
78.0,Female,2366,2366,2366
78.0,Male,4280,4280,4280
78.0,Undefined,29,29,29
79.0,Female,2171,2171,2171
79.0,Male,3886,3886,3886
79.0,Undefined,23,23,23
80.0,Female,1910,1910,1910
80.0,Male,3422,3422,3422
80.0,Undefined,17,17,17
81.0,Female,1721,1721,1721
81.0,Male,2940,2940,2940
81.0,Undefined,11,11,11
82.0,Female,1547,1547,1547
82.0,Male,2445,2445,2445
82.0,Undefined,9,9,9
83.0,Female,1297,1297,1297
83.0,Male,2208,2208,2208
83.0,Undefined,11,11,11
84.0,Female,1248,1248,1248
84.0,Male,1949,1949,1949
84.0,Undefined,12,12,12
85.0,Female,942,942,942
85.0,Male,1569,1569,1569
85.0,Undefined,13,13,13
86.0,Female,840,840,840
86.0,Male,1321,1321,1321
86.0,Undefined,15,15,15
87.0,Female,643,643,643
87.0,Male,1145,1145,1145
87.0,Undefined,9,9,9
88.0,Female,611,611,611
88.0,Male,950,950,950
88.0,Undefined,7,7,7
89.0,Female,485,485,485
89.0,Male,740,740,740
89.0,Undefined,5,5,5
90.0,Female,437,437,437
90.0,Male,616,616,616
90.0,Undefined,5,5,5
91.0,Female,247,247,247
91.0,Male,510,510,510
91.0,Undefined,4,4,4
92.0,Female,233,233,233
92.0,Male,360,360,360
92.0,Undefined,1,1,1
93.0,Female,179,179,179
93.0,Male,224,224,224
93.0,Undefined,2,2,2
94.0,Female,109,109,109
94.0,Male,184,184,184
94.0,Undefined,2,2,2
95.0,Female,88,88,88
95.0,Male,116,116,116
95.0,Undefined,1,1,1
96.0,Female,45,45,45
96.0,Male,94,94,94
96.0,Undefined,1,1,1
97.0,Female,45,45,45
97.0,Male,60,60,60
97.0,Undefined,2,2,2
98.0,Female,32,32,32
98.0,Male,67,67,67
98.0,Undefined,2,2,2
99.0,Female,225,225,225
99.0,Male,258,258,258
99.0,Undefined,48,48,48
100.0,Female,19,19,19
100.0,Male,38,38,38
100.0,Undefined,3,3,3
